Question,Answer,Class
Is the above prescription of free transactions applicable to a Basic Savings Bank Deposit Account (BSBDA) also,The above does not apply to BSBDA as the number of withdrawals from BSBDA is subject to the conditions associated with such accounts.,ATM/White Label ATM
How can one know if the ATM location is metro or non-metro?,"ATM installing banks have been advised to indicate clearly at each ATM location that the ATM is situated in a ‘metro’ or a ‘non-metro’ location using appropriate means (message displayed on the ATM / sticker / poster, etc.) to enable the customer to identify the status of the ATM in relation to availability of number of free transactions.",ATM/White Label ATM
Are customers charged for transactions at ATMs?,"Yes, customers can be charged for transactions at ATMs over and above the mandated number of free transactions (as indicated in answer to Q. 11 above). Presently, these charges cannot exceed a maximum of Rs. 21/- per transaction (plus applicable taxes, if any) by his / her bank.",ATM/White Label ATM
What steps should a customer take in case of a failed ATM transaction when his / her account is debited?,"Though banks are supposed to reverse such transactions on their own, it is always a good practice to lodge a complaint with the card issuing bank or ATM owner bank at the earliest.",ATM/White Label ATM
What are various types of cards,"Cards can be classified on the basis of their issuance, usage and payment by the card holder. There are four types of cards (a) debit, (b) credit, (c) prepaid, and (d) electronic.",Card Transactions
Who issues these cards?,"Debit cards are issued by banks and are linked to a bank account. Credit cards are generally issued by banks and a couple of non-banks, but can also be issued by other approved entities. Prepaid cards are issued by banks / non-banks against the value paid in advance by the cardholder and stored in such cards which can be issued in the form of cards or wallets",Card Transactions
What are the usages of debit cards?,"The debit cards can be used to withdraw cash from an ATM, purchase of goods and services at points of sale (PoS) terminals or e-commerce (online purchase). While they can be used domestically, the international usage is also allowed if requested by the holder of the card. They can also be used for domestic funds transfer from one person to another subject to prescribed limits and conditions.",Card Transactions
What are the usages of credit cards?,"The credit cards can be used for purchase of goods and services at PoS terminals / e-commerce. These cards can be used domestically and internationally (provided they are enabled for such use). The credit cards can also be used to withdraw cash from an ATM and for transferring funds to bank accounts, debit cards, credit cards and prepaid cards within the country, subject to prescribed limits and conditions.",Card Transactions
What are the usages of prepaid cards?,"By nature, prepaid cards can be (a) Small PPIs and (b) Full-KYC PPIs. The usage depends on the type of PPI and is subject to prescribed limits and conditions. These can be issued by both banks and non-banks.",Card Transactions
What are electronic cards?,"Electronic cards can be considered as debit cards issued in specific overdraft accounts that are in the nature of personal loan without any specific end-use restrictions. Banks have been permitted to issue electronic cards to natural persons having overdraft accounts so as to enable domestic digital transactions in such accounts. For all purposes like security, Additional Factor of Authentication (AFA), Merchant Discount Rate (MDR), etc., the instructions relating to debit cards are applicable on such electronic cards as well.",Card Transactions
What are various methods of using a card at a PoS terminal?,"A card can be dipped (Chip based card), tapped (Contactless Near Field Communication {NFC} Card) or swiped (Magnetic-Stripe card) at a PoS terminal.",Card Transactions
"What are Magnetic Stripe cards, EMV Chip & PIN cards and Contactless NFC cards?","The EMV Chip & PIN card stores card data in a chip, while the data in magnetic stripe card is stored on the magnetic stripe present on the card. In a Contactless NFC card, the card is read by keeping the card near the card reader. The EMV Chip & PIN cards and Contactless NFC cards are considered to be safer when compared to Magnetic Stripe cards.",Card Transactions
What are Card Present (CP) and Card Not Present (CNP) transactions?,A CP transaction is a card transaction that is carried out through physical presence of card at the point of transaction. It is also known as face-to-face or a proximity payment transaction. An example is a transaction carried out at an ATM or a PoS terminal. A CNP transaction does not require the card to be physically presented at the point of transaction. It is also called as a remote transaction. An example is an online transaction or a mobile banking transaction using the card.,Card Transactions
Who decides the limits for cash withdrawal or purchase of goods and services through a card?,"The limits on cash withdrawal at ATMs and for purchase of goods and services are decided by the card issuer. Within these limits, the card holder may set and modify transaction limits for various uses like domestic, international, PoS, ATMs, online transactions, contactless transactions, etc. Cash withdrawal using debit cards and full-KYC prepaid cards at PoS terminals has been allowed by Reserve Bank of India (RBI) whereby, a maximum of ?2,000 can be withdrawn per transaction within an overall monthly limit of ?10,000. Cardholders can check with their issuers for details of such facilities provided by them.",Card Transactions
Is there any way a customer can quickly come to know whether a fraudulent transaction has taken place using her / his card?,"RBI has been taking various steps to ensure that the card payment environment is safe and secure. RBI has mandated issuers to send alerts for all card transactions so that a card holder is aware of transactions taking place on her / his card. In order to benefit from it, the cardholders are advised to register for SMS / e-mail alerts.",Card Transactions
How are the transactions carried out through cards protected against fraudulent usage?,"All CP and CNP transactions on cards issued in India are secured with AFA. This AFA can be in any form and few commonly used forms are PIN, dynamic one-time password (OTP), static code, etc. The requirement of AFA is not mandatory for transactions where outflow of foreign exchange is contemplated. Similarly, in case of CP transactions (except ATM transactions) using NFC contactless technology, transactions for a maximum value of ?5,000 per transaction are allowed to be undertaken without AFA requirement, subject to adherence to EMV standards.",Card Transactions
What does RTGS stand for?,"The acronym 'RTGS' stands for Real Time Gross Settlement, which can be explained as a system where there is continuous and real-time settlement of fund-transfers, individually on a transaction-by-transaction basis (without netting). 'Real Time' means the processing of instructions at the time they are received; 'Gross Settlement' means that the settlement of funds transfer instructions occurs individually.",Real Time Gross Settlement System (RTGS) System
Are the payments under RTGS final and irrevocable?,"Considering that the funds settlement takes place in the books of the Reserve Bank of India (RBI), the payments are final and irrevocable.",Real Time Gross Settlement System (RTGS) System
How is the processing of RTGS different from that of National Electronic Funds Transfer (NEFT) System?,"NEFT is an electronic fund transfer system in which the transactions received up to a particular time are processed in batches. Contrary to this, in RTGS, the transactions are processed continuously on a transaction-by-transaction basis throughout the day.",Real Time Gross Settlement System (RTGS) System
Is RTGS a 24x7 system or are there some timings applicable?,"RTGS is available 24x7x365 with effect from December 14, 2020.",Real Time Gross Settlement System (RTGS) System
Is there any minimum / maximum amount stipulation for RTGS transactions?,"The RTGS system is primarily meant for large value transactions. The minimum amount to be remitted through RTGS is ? 2,00,000/- with no upper or maximum ceiling.",Real Time Gross Settlement System (RTGS) System
What about processing charges / service charges for RTGS transactions?,"a) Inward transactions – Free, no charge to be levied.b) Outward transactions – ? 2,00,000/- to 5,00,000/-: not exceeding ? 25/- (exclusive of tax, if any). Above ? 5,00,000/-: not exceeding ? 50 (exclusive of tax, if any)",Real Time Gross Settlement System (RTGS) System
How would one know the IFSC number of the receiving branch?,"The IFSC number can be obtained by the remitter (customer) from his / her bank branch. Alternatively, it is available on the cheque leaf of the beneficiary. This code number / bank branch information can be communicated by the beneficiary to the remitting customer. The list of IFSCs is also available on the RBI website at the link https://rbi.org.in/Scripts/Bs_viewRTGS.aspx?Category=5. The list is updated on a fortnightly basis.",Real Time Gross Settlement System (RTGS) System
What is the time taken for effecting funds transfer from one account to another through RTGS?,"Under normal circumstances, the beneficiary branches are expected to receive the funds in real time as soon as funds are transferred by the remitting bank. The beneficiary bank must credit the beneficiary's account within 30 minutes of receiving the funds transfer message.",Real Time Gross Settlement System (RTGS) System
Can a remitting customer initiate a transaction for a future date?,"No, the RTGS system does not accept future value dated transactions.",Real Time Gross Settlement System (RTGS) System
Can a transaction be originated to draw (receive) funds from another account?,"No. RTGS is a credit-push system i.e., transactions can be originated by the payer / remitter / sender only to pay / transfer / remit funds to a beneficiary.",Real Time Gross Settlement System (RTGS) System
Can an RTGS transaction be tracked? Would the remitting customer receive an acknowledgement of money credited to the beneficiary's account?,"While the customers do not have the facility to track the transaction, the RBI has implemented the feature of positive confirmation in an RTGS transaction. Under this, the remitting bank would receive a message from RBI (through the beneficiary bank) that the money has been credited to the beneficiary bank / customer account. Based on this, the remitting bank should advise the remitting customer that money has been credited to the receiving bank’s beneficiary account.",Real Time Gross Settlement System (RTGS) System
Is a customer eligible to get compensation for delay in returning the payment?,"In case of any delay in returning the failed payment, the originating customer is eligible to receive compensation at current repo rate plus 2%.",Real Time Gross Settlement System (RTGS) System
What is UTR number?,Unique Transaction Reference (UTR) number is a 22-character code used to uniquely identify a transaction in RTGS system.,Real Time Gross Settlement System (RTGS) System
What is the Help Desk / Contact point at the RBI?,You may approach RTGS Help Desk / Contact point of the RBI at rtgsmumbai@rbi.org.in.,Real Time Gross Settlement System (RTGS) System
What is National Electronic Funds Transfer system?,National Electronic Funds Transfer (NEFT) is a nation-wide centralised payment system owned and operated by the Reserve Bank of India (RBI). The set of procedures to be followed by various stakeholders participating in the system is available on the RBI website under the following link: https://rbi.org.in/Scripts/bs_viewcontent.aspx?Id=2346,National Electronic Funds Transfer (NEFT) System
Who can avail NEFT system for fund transfer / receipt?,"Individuals, firms and corporates maintaining accounts with any member bank, participating in the NEFT system, can electronically transfer funds to any individual, firm or corporate having an account with any other bank in the country participating in the NEFT system.",National Electronic Funds Transfer (NEFT) System
Is there any limit on funds / amount to be remitted through NEFT system?,"No, there is no limit imposed by the RBI for funds transfer through NEFT system. However, a member bank may place amount limits based on its own risk perception with the approval of its Board.",National Electronic Funds Transfer (NEFT) System
Can the NEFT system be used for remitting funds even by those who do not have a bank account?,"Yes, a person who does not have a bank account can remit funds through NEFT to a beneficiary having a bank account, with another NEFT member bank. It can be done by depositing cash at the nearest NEFT enabled branch of any bank, by furnishing additional details such as complete address, telephone number, etc. Such cash remittances will, however, be restricted to a maximum of ?50,000 per transaction.",National Electronic Funds Transfer (NEFT) System
Can I send funds to my relative / friend residing abroad through NEFT system?,"The outbound remittances through NEFT system are permitted only to Nepal under Indo-Nepal Remittance Facility (INRF) Scheme. Under this Scheme, the remitter can transfer funds from any of the NEFT-enabled bank branches in India to Nepal, irrespective of whether the beneficiary in Nepal maintains an account with a bank branch in Nepal or not. The beneficiary would receive funds in Nepalese Rupees. The details of the INRF Scheme are available on the website of RBI at https://rbi.org.in/scripts/FAQView.aspx?Id=67.",National Electronic Funds Transfer (NEFT) System
What are the operating hours of NEFT?,"The NEFT system is available round the clock throughout the year on all days, i.e., on 24x7x365 basis. NEFT presently operates in batches on half-hourly intervals throughout the day. In case of non-availability of NEFT for any reason, appropriate message will be broadcasted by RBI to all system participants.",National Electronic Funds Transfer (NEFT) System
What are the essential details required for remitting funds through NEFT system?,"Beneficiary's Name, Beneficiary's Branch Name, Beneficiary's Bank Name, Beneficiary's Account Type, Beneficiary's Account No., IFSC
Beneficiary's Branch Name
Beneficiary's Bank Name
Beneficiary's Account Type
Beneficiary's Account No.
Beneficiary's Branch IFSC
Sender and Beneficiary Legal Entity Identifier (for eligible transactions)",National Electronic Funds Transfer (NEFT) System
Can I use NEFT to transfer funds from / to NRE and NRO accounts?,"Yes, NEFT can be used to transfer funds from / to NRE and NRO accounts in the country. This, however, is subject to the adherence of the provisions of the Foreign Exchange Management Act, 2000 (FEMA) and Wire Transfer Guidelines.",National Electronic Funds Transfer (NEFT) System
Can I originate a NEFT transaction to draw / receive funds from another account?,"No. NEFT is a credit-push system i.e., transactions can be originated by the payer / remitter / sender only to pay / transfer / remit funds to beneficiary.",National Electronic Funds Transfer (NEFT) System
How much time should I expect for receipt of funds by beneficiary?,"A timeline of two hours from the batch settlement can be expected, within which beneficiary’s account should be credited.",National Electronic Funds Transfer (NEFT) System
"What happens if funds are not credited to the beneficiary? Or Do I get my money back, if funds are not credited to the beneficiary due to various reasons?","If it is not possible to afford credit to the account of the beneficiary for any reason, destination banks are required to return the transaction (to the originating branch) within two hours of completion of the batch in which the transaction was processed.",National Electronic Funds Transfer (NEFT) System
What are the penalties / compensation for delayed credit or return of funds by beneficiary bank?,"If the NEFT transaction is not credited or returned within two hours after batch settlement, then the bank is liable to pay penal interest to the affected customer at the current RBI LAF Repo Rate plus two percent for the period of delay / till the date of credit or refund, as the case may be, is afforded to the customers’ account without waiting for a specific claim to be lodged by the customer in this regard.",National Electronic Funds Transfer (NEFT) System
What happens if I write wrong account number of beneficiary?,"The credit is given to the account number written / given by remitter in his / her application / instruction. Credit to beneficiary account is released solely based on account number. It is the responsibility of remitting customer to write correct account number. The originator / sender should exercise due care in providing the correct account number of the beneficiary, in the NEFT remittance instruction / application.",National Electronic Funds Transfer (NEFT) System
